phone,state,district,title_long,person__firstname,person__lastname,person__name
(202) 224-4224,NE,,Senator,Benjamin,Sasse,Sen. Benjamin Sasse [R-NE]
(202) 224-2023,VA,,Senator,Mark,Warner,Sen. Mark Warner [D-VA]
(202) 224-2752,ID,,Senator,James,Risch,Sen. James Risch [R-ID]
(202) 224-2841,NH,,Senator,Jeanne,Shaheen,Sen. Jeanne Shaheen [D-NH]
(202) 224-3753,OR,,Senator,Jeff,Merkley,Sen. Jeff Merkley [D-OR]
(202) 224-5641,MN,,Senator,Alan,Franken,Sen. Alan “Al” Franken [D-MN]
(202) 224-5042,DE,,Senator,Chris,Coons,Sen. Chris Coons [D-DE]
(202) 224-5941,CO,,Senator,Cory,Gardner,Sen. Cory Gardner [R-CO]
(202) 224-2353,AR,,Senator,Tom,Cotton,Sen. Tom Cotton [R-AR]
(202) 224-2651,MT,,Senator,Steve,Daines,Sen. Steve Daines [R-MT]
(202) 224-3224,NJ,,Senator,Cory,Booker,Sen. Cory Booker [D-NJ]
(202) 224-3004,AK,,Senator,Dan,Sullivan,Sen. Dan Sullivan [R-AK]
(202) 224-3521,GA,,Senator,David,Perdue,Sen. David Perdue [R-GA]
(202) 224-3254,IA,,Senator,Joni,Ernst,Sen. Joni Ernst [R-IA]
(202) 224-6342,NC,,Senator,Thom,Tillis,Sen. Thom Tillis [R-NC]
(202) 224-5842,SD,,Senator,Mike,Rounds,Sen. Mike Rounds [R-SD]
(202) 224-6542,NY,,Senator,Charles,Schumer,Sen. Charles “Chuck” Schumer [D-NY]
(202) 224-5852,CO,,Senator,Michael,Bennet,Sen. Michael Bennet [D-CO]
(202) 224-4343,KY,,Senator,Rand,Paul,Sen. Rand Paul [R-KY]
(202) 224-2551,ND,,Senator,John,Hoeven,Sen. John Hoeven [R-ND]
(202) 225-2735,RI,2,Representative,James,Langevin,Rep. James “Jim” Langevin [D-RI2]
(202) 224-6142,ID,,Senator,Michael,Crapo,Sen. Michael Crapo [R-ID]
(202) 224-3744,IA,,Senator,Charles,Grassley,Sen. Charles “Chuck” Grassley [R-IA]
(202) 224-4242,VT,,Senator,Patrick,Leahy,Sen. Patrick Leahy [D-VT]
(202) 224-2235,AZ,,Senator,John,McCain,Sen. John McCain [R-AZ]
(202) 224-6665,AK,,Senator,Lisa,Murkowski,Sen. Lisa Murkowski [R-AK]
(202) 224-2621,WA,,Senator,Patty,Murray,Sen. Patty Murray [D-WA]
(202) 224-5744,AL,,Senator,Richard,Shelby,Sen. Richard Shelby [R-AL]
(202) 224-5244,OR,,Senator,Ron,Wyden,Sen. Ron Wyden [D-OR]
(202) 225-4876,AL,4,Representative,Robert,Aderholt,Rep. Robert Aderholt [R-AL4]
(202) 225-2002,TX,6,Representative,Joe,Barton,Rep. Joe Barton [R-TX6]
(202) 225-0453,UT,1,Representative,Rob,Bishop,Rep. Rob Bishop [R-UT1]
(202) 225-3631,GA,2,Representative,Sanford,Bishop,Rep. Sanford Bishop [D-GA2]
(202) 225-2811,TN,7,Representative,Marsha,Blackburn,Rep. Marsha Blackburn [R-TN7]
(202) 225-4811,OR,3,Representative,Earl,Blumenauer,Rep. Earl Blumenauer [D-OR3]
(202) 224-5721,MO,,Senator,Roy,Blunt,Sen. Roy Blunt [R-MO]
(202) 224-4843,AR,,Senator,John,Boozman,Sen. John Boozman [R-AR]
(202) 225-1188,GU,0,Delegate,Madeleine,Bordallo,Rep. Madeleine Bordallo [D-GU0]
(202) 225-4901,TX,8,Representative,Kevin,Brady,Rep. Kevin Brady [R-TX8]
(202) 225-4731,PA,1,Representative,Robert,Brady,Rep. Robert Brady [D-PA1]
(202) 225-7772,TX,26,Representative,Michael,Burgess,Rep. Michael Burgess [R-TX26]
(202) 224-3154,NC,,Senator,Richard,Burr,Sen. Richard Burr [R-NC]
(202) 225-1986,CA,42,Representative,Ken,Calvert,Rep. Ken Calvert [R-CA42]
(202) 225-5111,MA,7,Representative,Michael,Capuano,Rep. Michael Capuano [D-MA7]
(202) 225-3864,TX,31,Representative,John,Carter,Rep. John Carter [R-TX31]
(202) 225-2216,OH,1,Representative,Steve,Chabot,Rep. Steve Chabot [R-OH1]
(202) 225-2406,MO,1,Representative,Wm.,Clay,Rep. Lacy Clay [D-MO1]
(202) 225-3315,SC,6,Representative,James,Clyburn,Rep. James “Jim” Clyburn [D-SC6]
(202) 225-6165,OK,4,Representative,Tom,Cole,Rep. Tom Cole [R-OK4]
(202) 225-5126,MI,13,Representative,John,Conyers,Rep. John Conyers [D-MI13]
(202) 225-4311,TN,5,Representative,Jim,Cooper,Rep. Jim Cooper [D-TN5]
(202) 225-3965,NY,14,Representative,Joseph,Crowley,Rep. Joseph “Joe” Crowley [D-NY14]
(202) 225-2571,TX,7,Representative,John,Culberson,Rep. John Culberson [R-TX7]
(202) 225-4741,MD,7,Representative,Elijah,Cummings,Rep. Elijah Cummings [D-MD7]
(202) 225-5006,IL,7,Representative,Danny,Davis,Rep. Danny Davis [D-IL7]
(202) 225-2040,CA,53,Representative,Susan,Davis,Rep. Susan Davis [D-CA53]
(202) 225-6416,OR,4,Representative,Peter,DeFazio,Rep. Peter DeFazio [D-OR4]
(202) 225-4431,CO,1,Representative,Diana,DeGette,Rep. Diana DeGette [D-CO1]
(202) 225-3661,CT,3,Representative,Rosa,DeLauro,Rep. Rosa DeLauro [D-CT3]
(202) 225-4211,FL,25,Representative,Mario,Diaz-Balart,Rep. Mario Diaz-Balart [R-FL25]
(202) 225-4865,TX,35,Representative,Lloyd,Doggett,Rep. Lloyd Doggett [D-TX35]
(202) 225-2135,PA,14,Representative,Michael,Doyle,Rep. Michael “Mike” Doyle [D-PA14]
(202) 225-5435,TN,2,Representative,John,Duncan,Rep. John “Jimmy” Duncan [R-TN2]
(202) 225-2464,NY,16,Representative,Eliot,Engel,Rep. Eliot Engel [D-NY16]
(202) 225-8104,CA,18,Representative,Anna,Eshoo,Rep. Anna Eshoo [D-CA18]
(202) 225-4576,AZ,8,Representative,Trent,Franks,Rep. Trent Franks [R-AZ8]
(202) 225-5034,NJ,11,Representative,Rodney,Frelinghuysen,Rep. Rodney Frelinghuysen [R-NJ11]
(202) 225-5431,VA,6,Representative,Bob,Goodlatte,Rep. Bob Goodlatte [R-VA6]
(202) 225-5071,TX,12,Representative,Kay,Granger,Rep. Kay Granger [R-TX12]
(202) 225-7041,MO,6,Representative,Sam,Graves,Rep. Sam Graves [R-MO6]
(202) 225-1688,TX,29,Representative,Gene,Green,Rep. Gene Green [D-TX29]
(202) 225-2435,AZ,3,Representative,Raúl,Grijalva,Rep. Raúl Grijalva [D-AZ3]
(202) 225-8203,IL,4,Representative,Luis,Gutiérrez,Rep. Luis Gutiérrez [D-IL4]
(202) 225-1313,FL,20,Representative,Alcee,Hastings,Rep. Alcee Hastings [D-FL20]
(202) 225-3484,TX,5,Representative,Jeb,Hensarling,Rep. Jeb Hensarling [R-TX5]
(202) 225-4131,MD,5,Representative,Steny,Hoyer,Rep. Steny Hoyer [D-MD5]
(202) 224-3643,GA,,Senator,John,Isakson,Sen. John “Johnny” Isakson [R-GA]
(202) 225-3906,CA,49,Representative,Darrell,Issa,Rep. Darrell Issa [R-CA49]
(202) 225-3816,TX,18,Representative,Sheila,Jackson Lee,Rep. Sheila Jackson Lee [D-TX18]
(202) 225-8885,TX,30,Representative,Eddie,Johnson,Rep. Eddie Johnson [D-TX30]
(202) 225-4201,TX,3,Representative,Sam,Johnson,Rep. Sam Johnson [R-TX3]
(202) 225-3415,NC,3,Representative,Walter,Jones,Rep. Walter Jones [R-NC3]
(202) 225-4146,OH,9,Representative,Marcy,Kaptur,Rep. Marcy Kaptur [D-OH9]
(202) 225-5506,WI,3,Representative,Ron,Kind,Rep. Ron Kind [D-WI3]
(202) 225-7896,NY,2,Representative,Peter,King,Rep. Peter “Pete” King [R-NY2]
(202) 225-4426,IA,4,Representative,Steve,King,Rep. Steve King [R-IA4]
(202) 225-2605,WA,2,Representative,Rick,Larsen,Rep. Rick Larsen [D-WA2]
(202) 225-2265,CT,1,Representative,John,Larson,Rep. John Larson [D-CT1]
(202) 225-2661,CA,13,Representative,Barbara,Lee,Rep. Barbara Lee [D-CA13]
(202) 225-4961,MI,9,Representative,Sander,Levin,Rep. Sander Levin [D-MI9]
(202) 225-3801,GA,5,Representative,John,Lewis,Rep. John Lewis [D-GA5]
(202) 225-6572,NJ,2,Representative,Frank,LoBiondo,Rep. Frank LoBiondo [R-NJ2]
(202) 225-3072,CA,19,Representative,Zoe,Lofgren,Rep. Zoe Lofgren [D-CA19]
(202) 225-6506,NY,17,Representative,Nita,Lowey,Rep. Nita Lowey [D-NY17]
(202) 225-5565,OK,3,Representative,Frank,Lucas,Rep. Frank Lucas [R-OK3]
(202) 225-8273,MA,8,Representative,Stephen,Lynch,Rep. Stephen Lynch [D-MA8]
(202) 225-7944,NY,12,Representative,Carolyn,Maloney,Rep. Carolyn Maloney [D-NY12]
(202) 225-6631,MN,4,Representative,Betty,McCollum,Rep. Betty McCollum [D-MN4]
(202) 225-6101,MA,2,Representative,James,McGovern,Rep. James “Jim” McGovern [D-MA2]
(202) 225-3461,NY,5,Representative,Gregory,Meeks,Rep. Gregory Meeks [D-NY5]
(202) 224-6521,KS,,Senator,Jerry,Moran,Sen. Jerry Moran [R-KS]
(202) 225-2301,PA,18,Representative,Tim,Murphy,Rep. Tim Murphy [R-PA18]
(202) 225-5635,NY,10,Representative,Jerrold,Nadler,Rep. Jerrold Nadler [D-NY10]
(202) 225-5256,CA,32,Representative,Grace,Napolitano,Rep. Grace Napolitano [D-CA32]
(202) 225-5601,MA,1,Representative,Richard,Neal,Rep. Richard Neal [D-MA1]
(202) 225-8050,DC,0,Delegate,Eleanor,Norton,Rep. Eleanor Norton [D-DC0]
(202) 225-2523,CA,22,Representative,Devin,Nunes,Rep. Devin Nunes [R-CA22]
(202) 225-4671,NJ,6,Representative,Frank,Pallone,Rep. Frank Pallone [D-NJ6]
(202) 225-5751,NJ,9,Representative,Bill,Pascrell,Rep. Bill Pascrell [D-NJ9]
(202) 225-2365,NM,2,Representative,Stevan,Pearce,Rep. Stevan “Steve” Pearce [R-NM2]
(202) 225-4965,CA,12,Representative,Nancy,Pelosi,Rep. Nancy Pelosi [D-CA12]
(202) 225-2165,MN,7,Representative,Collin,Peterson,Rep. Collin Peterson [D-MN7]
(202) 224-3353,OH,,Senator,Robert,Portman,Sen. Robert “Rob” Portman [R-OH]
(202) 225-1784,NC,4,Representative,David,Price,Rep. David Price [D-NC4]
(202) 225-4601,KY,5,Representative,Harold,Rogers,Rep. Harold “Hal” Rogers [R-KY5]
(202) 225-3261,AL,3,Representative,Mike,Rogers,Rep. Mike Rogers [R-AL3]
(202) 225-2415,CA,48,Representative,Dana,Rohrabacher,Rep. Dana Rohrabacher [R-CA48]
(202) 225-3931,FL,27,Representative,Ileana,Ros-Lehtinen,Rep. Ileana Ros-Lehtinen [R-FL27]
(202) 225-1766,CA,40,Representative,Lucille,Roybal-Allard,Rep. Lucille Roybal-Allard [D-CA40]
(202) 225-4111,CA,39,Representative,Edward,Royce,Rep. Edward “Ed” Royce [R-CA39]
(202) 225-3061,MD,2,Representative,C.,Ruppersberger,Rep. A. Dutch Ruppersberger [D-MD2]
(202) 225-4372,IL,1,Representative,Bobby,Rush,Rep. Bobby Rush [D-IL1]
(202) 225-3031,WI,1,Representative,Paul,Ryan,Rep. Paul Ryan [R-WI1]
(202) 225-5261,OH,13,Representative,Tim,Ryan,Rep. Tim Ryan [D-OH13]
(202) 225-6676,CA,38,Representative,Linda,Sánchez,Rep. Linda Sánchez [D-CA38]
(202) 225-2111,IL,9,Representative,Janice,Schakowsky,Rep. Janice “Jan” Schakowsky [D-IL9]
(202) 225-4176,CA,28,Representative,Adam,Schiff,Rep. Adam Schiff [D-CA28]
(202) 225-2939,GA,13,Representative,David,Scott,Rep. David Scott [D-GA13]
(202) 225-8351,VA,3,Representative,Robert,Scott,Rep. Robert “Bobby” Scott [D-VA3]
(202) 225-5101,WI,5,Representative,F.,Sensenbrenner,Rep. James Sensenbrenner [R-WI5]
(202) 225-4361,NY,15,Representative,José,Serrano,Rep. José Serrano [D-NY15]
(202) 225-2231,TX,32,Representative,Pete,Sessions,Rep. Pete Sessions [R-TX32]
(202) 225-5911,CA,30,Representative,Brad,Sherman,Rep. Brad Sherman [D-CA30]
(202) 225-5271,IL,15,Representative,John,Shimkus,Rep. John Shimkus [R-IL15]
(202) 225-5531,ID,2,Representative,Michael,Simpson,Rep. Michael “Mike” Simpson [R-ID2]
(202) 225-3615,NY,25,Representative,Louise,Slaughter,Rep. Louise Slaughter [D-NY25]
(202) 225-8901,WA,9,Representative,Adam,Smith,Rep. Adam Smith [D-WA9]
(202) 225-3765,NJ,4,Representative,Christopher,Smith,Rep. Christopher “Chris” Smith [R-NJ4]
(202) 225-4236,TX,21,Representative,Lamar,Smith,Rep. Lamar Smith [R-TX21]
(202) 225-5876,MS,2,Representative,Bennie,Thompson,Rep. Bennie Thompson [D-MS2]
(202) 225-3311,CA,5,Representative,Mike,Thompson,Rep. Mike Thompson [D-CA5]
(202) 225-3706,TX,13,Representative,Mac,Thornberry,Rep. Mac Thornberry [R-TX13]
(202) 225-5355,OH,12,Representative,Patrick,Tiberi,Rep. Patrick “Pat” Tiberi [R-OH12]
(202) 224-4254,PA,,Senator,Patrick,Toomey,Sen. Patrick “Pat” Toomey [R-PA]
(202) 225-6465,OH,10,Representative,Michael,Turner,Rep. Michael Turner [R-OH10]
(202) 225-3761,MI,6,Representative,Fred,Upton,Rep. Fred Upton [R-MI6]
(202) 224-4654,MD,,Senator,Chris,Van Hollen,Sen. Chris Van Hollen [D-MD]
(202) 225-2361,NY,7,Representative,Nydia,Velázquez,Rep. Nydia Velázquez [D-NY7]
(202) 225-2461,IN,1,Representative,Peter,Visclosky,Rep. Peter Visclosky [D-IN1]
(202) 225-6730,OR,2,Representative,Greg,Walden,Rep. Greg Walden [R-OR2]
(202) 225-2201,CA,43,Representative,Maxine,Waters,Rep. Maxine Waters [D-CA43]
(202) 225-2452,SC,2,Representative,Joe,Wilson,Rep. Joe Wilson [R-SC2]
(202) 225-5765,AK,0,Representative,Don,Young,Rep. Don Young [R-AK0]
(202) 224-2321,SD,,Senator,John,Thune,Sen. John Thune [R-SD]
(202) 225-3176,SC,1,Representative,Marshall,Sanford,Rep. Marshall “Mark” Sanford [R-SC1]
(202) 225-3101,NC,1,Representative,George,Butterfield,Rep. George “G.K.” Butterfield [D-NC1]
(202) 225-3341,CA,16,Representative,Jim,Costa,Rep. Jim Costa [D-CA16]
(202) 225-7931,FL,23,Representative,Debbie,Wasserman Schultz,Rep. Debbie Wasserman Schultz [D-FL23]
(202) 225-4501,GA,6,Representative,Tom,Price,Rep. Tom Price [R-GA6]
(202) 225-5701,IL,3,Representative,Daniel,Lipinski,Rep. Daniel Lipinski [D-IL3]
(202) 225-4535,MO,5,Representative,Emanuel,Cleaver,Rep. Emanuel Cleaver [D-MO5]
(202) 225-4806,NE,1,Representative,Jeff,Fortenberry,Rep. Jeff Fortenberry [R-NE1]
(202) 225-3306,NY,26,Representative,Brian,Higgins,Rep. Brian Higgins [D-NY26]
(202) 225-2071,NC,5,Representative,Virginia,Foxx,Rep. Virginia Foxx [R-NC5]
(202) 225-2576,NC,10,Representative,Patrick,McHenry,Rep. Patrick McHenry [R-NC10]
(202) 225-6411,PA,15,Representative,Charles,Dent,Rep. Charles Dent [R-PA15]
(202) 225-3035,TX,1,Representative,Louie,Gohmert,Rep. Louie Gohmert [R-TX1]
(202) 225-6565,TX,2,Representative,Ted,Poe,Rep. Ted Poe [R-TX2]
(202) 225-7508,TX,9,Representative,Al,Green,Rep. Al Green [D-TX9]
(202) 225-2401,TX,10,Representative,Michael,McCaul,Rep. Michael McCaul [R-TX10]
(202) 225-3605,TX,11,Representative,K.,Conaway,Rep. Michael Conaway [R-TX11]
(202) 225-6605,TX,24,Representative,Kenny,Marchant,Rep. Kenny Marchant [R-TX24]
(202) 225-1640,TX,28,Representative,Henry,Cuellar,Rep. Henry Cuellar [D-TX28]
(202) 225-2006,WA,5,Representative,Cathy,McMorris Rodgers,Rep. Cathy McMorris Rodgers [R-WA5]
(202) 225-7761,WA,8,Representative,David,Reichert,Rep. David Reichert [R-WA8]
(202) 225-4572,WI,4,Representative,Gwen,Moore,Rep. Gwen Moore [D-WI4]
(202) 225-7163,CA,6,Representative,Doris,Matsui,Rep. Doris Matsui [D-CA6]
(202) 225-6211,MN,8,Representative,Richard,Nolan,Rep. Richard Nolan [D-MN8]
(202) 225-2431,PA,9,Representative,Bill,Shuster,Rep. Bill Shuster [R-PA9]
(202) 225-7919,NJ,8,Representative,Albio,Sires,Rep. Albio Sires [D-NJ8]
(202) 225-1947,CA,9,Representative,Jerry,McNerney,Rep. Jerry McNerney [D-CA9]
(202) 225-2915,CA,23,Representative,Kevin,McCarthy,Rep. Kevin McCarthy [R-CA23]
(202) 225-4422,CO,5,Representative,Doug,Lamborn,Rep. Doug Lamborn [R-CO5]
(202) 225-2645,CO,7,Representative,Ed,Perlmutter,Rep. Ed Perlmutter [D-CO7]
(202) 225-2076,CT,2,Representative,Joe,Courtney,Rep. Joe Courtney [D-CT2]
(202) 225-3376,FL,14,Representative,Kathy,Castor,Rep. Kathy Castor [D-FL14]
(202) 225-5015,FL,16,Representative,Vern,Buchanan,Rep. Vern Buchanan [R-FL16]
(202) 225-1605,GA,4,Representative,Henry,Johnson,Rep. Henry “Hank” Johnson [D-GA4]
(202) 225-4561,IL,6,Representative,Peter,Roskam,Rep. Peter Roskam [R-IL6]
(202) 225-6576,IA,2,Representative,David,Loebsack,Rep. David Loebsack [D-IA2]
(202) 225-5401,KY,3,Representative,John,Yarmuth,Rep. John Yarmuth [D-KY3]
(202) 225-4016,MD,3,Representative,John,Sarbanes,Rep. John Sarbanes [D-MD3]
(202) 225-6276,MI,7,Representative,Tim,Walberg,Rep. Tim Walberg [R-MI7]
(202) 225-2472,MN,1,Representative,Timothy,Walz,Rep. Timothy Walz [D-MN1]
(202) 225-4755,MN,5,Representative,Keith,Ellison,Rep. Keith Ellison [D-MN5]
(202) 225-6435,NE,3,Representative,Adrian,Smith,Rep. Adrian Smith [R-NE3]
(202) 225-5456,NH,1,Representative,Carol,Shea-Porter,Rep. Carol Shea-Porter [D-NH1]
(202) 225-6231,NY,9,Representative,Yvette,Clarke,Rep. Yvette Clarke [D-NY9]
(202) 225-2676,OH,4,Representative,Jim,Jordan,Rep. Jim Jordan [R-OH4]
(202) 225-3265,TN,9,Representative,Steve,Cohen,Rep. Steve Cohen [D-TN9]
(202) 225-4115,VT,0,Representative,Peter,Welch,Rep. Peter Welch [D-VT0]
(202) 225-5755,FL,12,Representative,Gus,Bilirakis,Rep. Gus Bilirakis [R-FL12]
(202) 225-3411,MA,3,Representative,Niki,Tsongas,Rep. Niki Tsongas [D-MA3]
(202) 225-4261,VA,1,Representative,Robert,Wittman,Rep. Robert Wittman [R-VA1]
(202) 225-6405,OH,5,Representative,Robert,Latta,Rep. Robert Latta [R-OH5]
(202) 225-3515,IL,11,Representative,Bill,Foster,Rep. Bill Foster [D-IL11]
(202) 225-4011,IN,7,Representative,André,Carson,Rep. André Carson [D-IN7]
(202) 225-3531,CA,14,Representative,Jackie,Speier,Rep. Jackie Speier [D-CA14]
(202) 225-3015,LA,1,Representative,Steve,Scalise,Rep. Steve Scalise [R-LA1]
(202) 225-7751,UT,3,Representative,Jason,Chaffetz,Rep. Jason Chaffetz [R-UT3]
(202) 225-7882,CO,6,Representative,Mike,Coffman,Rep. Mike Coffman [R-CO6]
(202) 225-1492,VA,11,Representative,Gerald,Connolly,Rep. Gerald Connolly [D-VA11]
(202) 225-3501,KY,2,Representative,Brett,Guthrie,Rep. Brett Guthrie [R-KY2]
(202) 225-5031,MS,3,Representative,Gregg,Harper,Rep. Gregg Harper [R-MS3]
(202) 225-5541,CT,4,Representative,James,Himes,Rep. James Himes [D-CT4]
(202) 225-5672,CA,50,Representative,Duncan,Hunter,Rep. Duncan Hunter [R-CA50]
(202) 225-6601,KS,2,Representative,Lynn,Jenkins,Rep. Lynn Jenkins [R-KS2]
(202) 225-5361,NJ,7,Representative,Leonard,Lance,Rep. Leonard Lance [R-NJ7]
(202) 225-2956,MO,3,Representative,Blaine,Luetkemeyer,Rep. Blaine Luetkemeyer [R-MO3]
(202) 225-6190,NM,3,Representative,Ben,Luján,Rep. Ben Luján [D-NM3]
(202) 225-2511,CA,4,Representative,Tom,McClintock,Rep. Tom McClintock [R-CA4]
(202) 225-5951,TX,22,Representative,Pete,Olson,Rep. Pete Olson [R-TX22]
(202) 225-2871,MN,3,Representative,Erik,Paulsen,Rep. Erik Paulsen [R-MN3]
(202) 225-6116,ME,1,Representative,Chellie,Pingree,Rep. Chellie Pingree [D-ME1]
(202) 225-2161,CO,2,Representative,Jared,Polis,Rep. Jared Polis [D-CO2]
(202) 225-3671,FL,8,Representative,Bill,Posey,Rep. Bill Posey [R-FL8]
(202) 225-6356,TN,1,Representative,David,Roe,Rep. David “Phil” Roe [R-TN1]
(202) 225-5792,FL,17,Representative,Thomas,Rooney,Rep. Thomas Rooney [R-FL17]
(202) 225-2646,MP,0,Delegate,Gregorio,Sablan,Rep. Gregorio Sablan [D-MP0]
(202) 225-5711,OR,5,Representative,Kurt,Schrader,Rep. Kurt Schrader [D-OR5]
(202) 225-5121,PA,5,Representative,Glenn,Thompson,Rep. Glenn Thompson [R-PA5]
(202) 225-5965,NV,1,Representative,Dina,Titus,Rep. Dina Titus [D-NV1]
(202) 225-5076,NY,20,Representative,Paul,Tonko,Rep. Paul Tonko [D-NY20]
(202) 225-7032,OH,11,Representative,Marcia,Fudge,Rep. Marcia Fudge [D-OH11]
(202) 225-4061,IL,5,Representative,Mike,Quigley,Rep. Mike Quigley [D-IL5]
(202) 225-5464,CA,27,Representative,Judy,Chu,Rep. Judy Chu [D-CA27]
(202) 225-1880,CA,3,Representative,John,Garamendi,Rep. John Garamendi [D-CA3]
(202) 225-3001,FL,22,Representative,Theodore,Deutch,Rep. Theodore Deutch [D-FL22]
(202) 225-5211,GA,14,Representative,Tom,Graves,Rep. Tom Graves [R-GA14]
(202) 225-3161,NY,23,Representative,Tom,Reed,Rep. Tom Reed [R-NY23]
(202) 225-2901,AL,2,Representative,Martha,Roby,Rep. Martha Roby [R-AL2]
(202) 225-4801,AL,5,Representative,Mo,Brooks,Rep. Mo Brooks [R-AL5]
(202) 225-2665,AL,7,Representative,Terri,Sewell,Rep. Terri Sewell [D-AL7]
(202) 225-2315,AZ,4,Representative,Paul,Gosar,Rep. Paul Gosar [R-AZ4]
(202) 225-2190,AZ,6,Representative,David,Schweikert,Rep. David Schweikert [R-AZ6]
(202) 225-4076,AR,1,Representative,Eric,Crawford,Rep. Eric “Rick” Crawford [R-AR1]
(202) 225-4301,AR,3,Representative,Steve,Womack,Rep. Steve Womack [R-AR3]
(202) 225-4540,CA,10,Representative,Jeff,Denham,Rep. Jeff Denham [R-CA10]
(202) 225-7084,CA,37,Representative,Karen,Bass,Rep. Karen Bass [D-CA37]
